carat,depth,table,price,'x','y','z',cut_Fair,cut_Good,cut_Ideal,cut_Prem,cut_V_good,color_D,color_E,color_F,color_G,color_H,color_I,color_J,clarity_I1,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2
0.34,54,56,1012,4.8,4.76,2.58,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.4,62.2,55,1012,4.75,4.77,2.96,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.45,59,62,1012,5.02,5.04,2.97,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.57,61.3,59,1012,5.32,5.28,3.25,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.54,61.2,60,1013,5.26,5.16,3.19,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.41,62.5,57,1013,4.71,4.76,2.96,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.38,62.5,53,1013,4.62,4.66,2.9,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.38,61.8,56,1013,4.65,4.67,2.88,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.38,61.1,56,1013,4.69,4.71,2.87,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.3,61.1,57,1013,4.31,4.33,2.64,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.4,59.1,61,1013,4.86,4.88,2.88,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.36,60.1,57,1013,4.67,4.62,2.79,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.3,61.9,59,1013,4.32,4.27,2.66,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.3,61.9,57,1013,4.31,4.28,2.66,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.3,61.3,59,1013,4.32,4.3,2.64,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.3,61.6,58,1013,4.35,4.32,2.67,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.3,61.1,57,1013,4.39,4.35,2.67,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.3,61.8,58,1013,4.29,4.26,2.64,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.3,61.4,59,1013,4.34,4.32,2.66,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.3,60.2,57,1013,4.4,4.37,2.64,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.3,61.5,60,1013,4.31,4.28,2.64,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.3,61.7,57,1013,4.34,4.31,2.67,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.36,60.7,58,1013,4.62,4.57,2.79,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.3,60.8,60,1013,4.31,4.27,2.61,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.3,61.9,57,1013,4.32,4.28,2.66,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.3,61.8,56,1013,4.33,4.31,2.67,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.3,60.7,58,1013,4.37,4.33,2.64,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.3,61.4,60,1013,4.28,4.25,2.62,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.3,61.4,58,1013,4.28,4.25,2.62,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.36,61.2,56,1013,4.63,4.59,2.82,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.36,61.9,56,1013,4.59,4.56,2.83,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.3,60.1,59,1013,4.37,4.32,2.61,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.3,61.8,56,1013,4.35,4.33,2.68,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.3,62,56,1013,4.34,4.3,2.68,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.3,61.7,55,1013,4.31,4.28,2.65,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.3,61.6,57,1013,4.32,4.29,2.65,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.3,61.4,57,1013,4.34,4.32,2.66,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.36,60.8,56,1013,4.64,4.6,2.81,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.36,62.6,56,1013,4.56,4.52,2.84,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.36,61.7,55,1013,4.63,4.57,2.84,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.45,63,56,1013,4.9,4.88,3.08,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.42,60.1,61,1013,4.88,4.84,2.92,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.36,61.9,57,1013,4.6,4.55,2.83,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0.36,59.3,59,1013,4.68,4.6,2.75,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.36,61.9,56,1013,4.59,4.56,2.83,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.36,59.8,62,1013,4.61,4.56,2.74,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.36,60.3,59,1013,4.64,4.58,2.78,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.36,61.2,56,1013,4.62,4.6,2.82,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.36,61.1,56,1013,4.63,4.6,2.82,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.36,61.9,56,1013,4.56,4.55,2.82,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.36,61.3,60,1013,4.59,4.55,2.8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.36,62.1,59,1013,4.59,4.55,2.84,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.36,60.3,62,1013,4.59,4.56,2.76,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.36,62.3,58,1013,4.55,4.51,2.82,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.36,61.8,58,1013,4.57,4.52,2.81,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.36,62.1,55,1013,4.58,4.54,2.83,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.36,61.3,60,1013,4.59,4.54,2.8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.36,62.8,55,1013,4.56,4.49,2.84,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.36,62.8,56,1013,4.54,4.51,2.84,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.3,60.4,60,1013,4.34,4.3,2.61,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0.3,61.5,56,1013,4.34,4.31,2.66,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0.3,60.8,56,1013,4.37,4.35,2.65,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0.3,62.9,58,1013,4.29,4.26,2.69,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0.3,62.1,55,1013,4.3,4.27,2.66,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0.3,61.8,55,1013,4.31,4.3,2.66,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0.3,61.7,55,1013,4.34,4.32,2.67,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.3,60.6,61,1013,4.35,4.33,2.63,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.3,60.5,59,1013,4.36,4.33,2.63,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.3,60.7,59,1013,4.37,4.33,2.64,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.3,60.7,58,1013,4.36,4.34,2.64,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.3,62,55,1013,4.34,4.31,2.68,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.3,62.6,54,1013,4.32,4.31,2.7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.3,62.3,54,1013,4.33,4.31,2.69,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.3,62.3,55,1013,4.31,4.29,2.68,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.3,61.3,56,1013,4.34,4.3,2.65,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.3,62.1,56,1013,4.31,4.29,2.67,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.3,63.4,56,1013,4.31,4.27,2.72,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.3,61.9,59,1013,4.31,4.28,2.66,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.3,63.1,58,1013,4.31,4.28,2.71,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.3,61.8,59,1013,4.33,4.28,2.66,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.3,62.2,57,1013,4.31,4.27,2.67,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.3,63.3,55,1013,4.3,4.26,2.71,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.3,62.4,57,1013,4.29,4.27,2.67,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.3,62.6,58,1013,4.29,4.27,2.68,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.3,62.1,61,1013,4.3,4.27,2.66,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.3,62.8,58,1013,4.3,4.27,2.69,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.3,62.6,54,1013,4.28,4.25,2.67,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.3,63.1,56,1013,4.28,4.25,2.69,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.3,61.7,58,1013,4.3,4.26,2.64,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.3,62.9,57,1013,4.3,4.26,2.69,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.3,62.7,59,1013,4.27,4.22,2.66,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.3,63.5,57,1013,4.27,4.24,2.7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.3,63.5,57,1013,4.27,4.23,2.7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.3,63.2,58,1013,4.25,4.23,2.68,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.5,63.1,56,1013,5.07,5.01,3.18,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.54,61.2,60,1013,5.22,5.2,3.19,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.36,61.3,57,1013,4.58,4.56,2.8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.45,61.7,59,1013,4.96,4.91,3.04,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.75,64,59,1013,5.78,5.62,3.66,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0.25,54.4,64,1013,4.3,4.23,2.32,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.36,62,58,1013,4.56,4.54,2.82,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.32,62.2,56,1014,4.41,4.37,2.73,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.32,61.7,55,1014,4.42,4.39,2.72,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.53,62.7,54,1014,5.17,5.23,3.26,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.33,60.3,58,1014,4.49,4.46,2.7,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.34,62,56,1014,4.48,4.52,2.79,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.34,62.2,56,1014,4.44,4.46,2.77,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.34,62.3,56,1014,4.45,4.48,2.78,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.34,61.9,56,1014,4.47,4.51,2.78,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.34,61.9,54,1014,4.46,4.49,2.77,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.34,61.7,55,1014,4.48,4.5,2.77,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.34,62.2,56,1014,4.45,4.49,2.78,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.34,60.1,57,1014,4.54,4.58,2.74,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.34,61.6,56,1014,4.48,4.51,2.77,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.34,61.7,58,1014,4.43,4.48,2.75,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.34,61.9,57,1014,4.47,4.48,2.77,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.34,62.3,59,1014,4.46,4.49,2.79,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.42,61.7,57,1014,4.78,4.81,2.96,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.7,66.3,63,1014,5.58,5.43,3.66,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0.32,61.6,54,1015,4.4,4.43,2.72,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.4,62,56,1015,4.73,4.76,2.94,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.53,62.5,60,1015,5.16,5.18,3.23,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.4,61.5,59,1015,4.75,4.81,2.94,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.41,61,57,1015,4.8,4.78,2.92,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.41,61.6,55,1015,4.8,4.78,2.95,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.41,60.8,57,1015,4.84,4.8,2.93,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.41,59.6,59,1015,4.85,4.82,2.88,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.41,60.3,57,1015,4.86,4.82,2.92,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.41,61.4,58,1015,4.78,4.76,2.93,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.41,62.3,55,1015,4.79,4.77,2.98,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.41,61.4,56,1015,4.8,4.77,2.94,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.41,61.7,54,1015,4.79,4.78,2.95,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.41,61,59,1015,4.78,4.76,2.91,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.41,62.7,56,1015,4.78,4.73,2.98,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.41,62.1,59,1015,4.76,4.74,2.95,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.41,62.6,57,1015,4.78,4.74,2.98,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.41,62.2,57,1015,4.76,4.7,2.94,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.41,62.9,58,1015,4.75,4.7,2.97,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.41,63.1,59,1015,4.71,4.7,2.97,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.41,63.2,56,1015,4.74,4.72,2.99,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.5,63.1,56,1015,5.05,4.96,3.16,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.5,58.5,64,1015,5.2,5.12,3.02,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.41,60.5,60,1015,4.81,4.77,2.9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.5,62.3,59,1016,5.1,5.04,3.16,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.5,61.6,57,1016,5.14,5.08,3.15,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.44,63.1,56,1016,4.83,4.87,3.06,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.51,62.1,55,1016,5.12,5.14,3.18,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.43,61.9,55,1016,4.95,4.8,3.02,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.43,62.5,56,1016,4.85,4.82,3.02,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.43,61.3,60,1016,4.86,4.83,2.97,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.43,61.6,59,1016,4.87,4.83,2.99,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.43,61.8,56,1016,4.87,4.84,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.43,60.5,60,1016,4.88,4.84,2.94,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.43,61.7,54,1016,4.9,4.86,3.01,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.43,61.6,57,1016,4.85,4.8,2.97,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.43,62.4,56,1016,4.84,4.81,3.01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.43,62.9,60,1016,4.8,4.77,3.01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.43,62.4,57,1016,4.82,4.79,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.43,62.6,58,1016,4.81,4.77,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.43,62.4,56,1016,4.83,4.79,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.43,62.9,56,1016,4.83,4.8,3.03,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.43,61.5,56,1016,4.9,4.85,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.43,60.2,60,1016,4.94,4.89,2.96,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.43,62.3,57,1016,4.82,4.78,2.99,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.43,60.6,59,1016,4.87,4.84,2.94,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.41,61.6,59,1017,4.79,4.73,2.93,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.4,63.5,54,1017,4.69,4.73,2.99,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.4,60.3,59,1017,4.74,4.78,2.87,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.4,62.4,58,1017,4.7,4.76,2.95,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.4,61.8,58,1017,4.69,4.72,2.91,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.4,61.4,57,1017,4.74,4.81,2.93,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.4,62,54,1017,4.72,4.76,2.94,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.4,62.3,54,1017,4.74,4.77,2.96,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.4,62.2,55,1017,4.7,4.75,2.94,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.43,61.6,55,1017,4.85,4.89,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.5,64.5,58,1017,4.97,4.99,3.21,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.4,62.7,59,1017,4.74,4.7,2.96,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.4,61.8,59,1017,4.74,4.72,2.92,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.35,60.8,56,1017,4.61,4.6,2.8,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0.35,60.7,56,1017,4.62,4.61,2.8,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0.41,62.3,59,1018,4.72,4.79,2.96,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
